Income_per_month,Age,Rent_per_month,Loan_Repayment_per_month,Insurance_premium,Healthcare_cost_per_month,Education_cost_per_month,Desired_Savings_per_month,Dependents_0,Dependents_1,Dependents_2,Dependents_3,Dependents_4,Occupation_Professional,Occupation_Retired,Occupation_Self_Employed,Occupation_Student,Risk_Tolerance
57929,63,11585,0,2686,1886,5289,7631,0,1,0,0,0,0,1,0,0,0.05470267417660795
11296,27,2259,0,380,503,804,979,0,0,1,0,0,0,1,0,0,0.005546153800370207
35455,37,5318,2757,715,1666,1978,2043,0,0,0,0,1,1,0,0,0,0.024580244145836764
6255,33,1251,867,300,244,380,401,0,0,0,1,0,0,0,1,0,0.003293369811702573
10367,23,1555,736,510,468,0,653,1,0,0,0,0,0,0,0,1,0.004364706979364856
35117,34,10535,0,1157,1563,0,1886,1,0,0,0,0,0,1,0,0,0.023887842902292067
54161,23,16248,5389,1791,1742,4771,5174,0,0,0,0,1,0,0,1,0,0.053407149786823746
34408,39,6881,0,706,1117,3379,3155,0,0,1,0,0,0,0,1,0,0.024543540928055742
27348,35,4102,0,712,1129,0,1532,1,0,0,0,0,0,0,1,0,0.0161692554008289
23578,49,4715,0,556,893,1435,2348,0,1,0,0,0,0,0,1,0,0.017006485557779793
9192,45,1838,1648,403,390,880,542,0,1,0,0,0,1,0,0,0,0.005804068303696312
16866,59,3373,2840,598,584,1000,1627,0,0,1,0,0,0,0,1,0,0.01102683699604994
20752,27,3112,0,595,778,1985,1708,0,1,0,0,0,1,0,0,0,0.014273583801382024
69888,58,20966,0,3336,2620,6124,9335,0,0,0,1,0,1,0,0,0,0.060883694446703954
39491,39,7898,0,1555,1322,2299,3015,0,0,0,0,1,0,1,0,0,0.02675168586807078
7321,45,1464,674,352,285,0,498,1,0,0,0,0,0,0,0,1,0.0033052735580099317
38879,32,7775,0,1074,1411,2562,2206,0,0,0,0,1,0,0,0,1,0.025876760514479916
22046,60,4409,2490,1013,671,1918,1343,0,0,1,0,0,0,0,1,0,0.017930017875459038
17455,46,5236,0,796,821,1605,1066,0,0,0,0,1,0,0,1,0,0.009506133405284866
48937,24,7340,6173,2295,2284,0,5504,1,0,0,0,0,0,0,0,1,0.03564676029624456
68442,51,13688,9243,3047,2414,0,9241,1,0,0,0,0,0,0,0,1,0.06378920052455841
63194,49,12638,0,2792,2341,5067,8238,0,0,1,0,0,1,0,0,0,0.056260080985154046
15330,19,3066,0,697,757,0,1406,1,0,0,0,0,0,0,1,0,0.0069855151247016625
23425,43,7027,2226,1098,1032,2095,1480,0,1,0,0,0,0,0,0,1,0.019816761665175393
39103,62,7820,0,1279,1800,3364,2217,0,0,0,0,1,0,0,0,1,0.027126653876752577
65472,28,13094,0,1739,2326,5264,8984,0,0,0,1,0,1,0,0,0,0.058292645667135545
20447,42,4089,0,453,951,1830,1083,0,0,0,1,0,0,1,0,0,0.014471979573171336
25859,36,5171,0,730,1201,1539,2417,0,0,0,1,0,1,0,0,0,0.017738565955682354
12380,37,1857,1610,568,601,927,1133,0,0,1,0,0,0,0,0,1,0.0071938306850804394
11521,50,2304,1912,575,558,721,640,0,0,0,1,0,0,0,1,0,0.0070331301099310975
57467,34,11493,8786,1878,2054,3769,5901,0,0,0,0,1,0,1,0,0,0.05852576069898798
88782,47,26634,0,3022,4132,0,10652,1,0,0,0,0,1,0,0,0,0.06931948266318548
28320,35,8496,0,900,1083,1559,2243,0,1,0,0,0,0,1,0,0,0.020797828756673537
66955,49,13391,12898,2445,2548,5497,5091,0,0,0,1,0,0,1,0,0,0.06535950305827082
40065,57,12019,3437,1375,1895,2634,4090,0,0,0,1,0,1,0,0,0,0.03462601405038856
17905,62,3581,0,725,853,1159,1262,0,0,0,1,0,0,0,1,0,0.00895459315971058
40057,21,6008,6078,1131,1609,3873,5259,0,1,0,0,0,0,0,0,1,0.03342075973676849
102680,49,20536,19761,3295,3410,6922,13805,0,0,0,0,1,0,0,0,1,0.10280273706806761
29152,36,5830,0,935,931,2780,2310,0,0,0,1,0,0,0,1,0,0.020293903496328685
104890,20,31467,6756,3100,5070,0,18438,1,0,0,0,0,0,1,0,0,0.10022359203480656
3689,55,1106,495,162,174,186,146,0,0,1,0,0,0,0,1,0,0.0018381368256279722
57900,45,17370,11444,2096,2260,3600,0,0,1,0,0,0,0,1,0,0,0.05522743099299068
32163,55,6432,1904,1183,1217,2345,1805,0,0,0,0,1,1,0,0,0,0.023279759861757825
23617,23,4723,0,643,744,0,1807,1,0,0,0,0,0,1,0,0,0.01513958134524237
32285,57,9685,3371,1056,1181,3174,2963,0,1,0,0,0,0,0,0,1,0.02860172644000611
6117,34,1223,383,185,196,314,478,0,1,0,0,0,0,0,0,1,0.002763653101025111
25165,59,5033,3469,1188,1198,1757,1604,0,0,1,0,0,0,1,0,0,0.02020958529331823
39920,22,7984,7102,843,1930,2590,2386,0,0,1,0,0,0,0,0,1,0.03177308285205826
97857,36,19571,0,2470,2988,9185,10239,0,0,0,0,1,0,0,1,0,0.08308021339449213
19817,60,5945,1710,789,909,1872,1183,0,0,0,1,0,0,1,0,0,0.012413623440857228
15711,59,3142,1266,599,749,1026,1555,0,0,1,0,0,0,0,1,0,0.009293849929470303
20081,52,4016,0,832,788,1878,1931,0,0,0,0,1,0,0,0,1,0.014951105362042524
62397,39,9359,8081,1332,2241,5064,8341,0,1,0,0,0,0,0,1,0,0.06181913051069056
39024,41,11707,4031,1813,1789,2707,2001,0,0,0,1,0,0,1,0,0,0.032765061711004816
19636,27,3927,0,941,728,0,1411,1,0,0,0,0,0,0,1,0,0.008615336389950858
45232,19,13569,7866,1965,1634,3858,0,0,1,0,0,0,0,0,1,0,0.03416077596554262
32422,45,6484,0,818,1376,1918,2150,0,0,0,0,1,0,0,0,1,0.021519989365986633
65112,58,19533,4564,2843,2382,0,8192,1,0,0,0,0,0,0,0,1,0.06104340304299435
17108,54,5132,3202,504,679,1619,579,0,1,0,0,0,0,1,0,0,0.011646823782891539
23082,34,4616,3961,566,1060,1863,1225,0,0,1,0,0,0,1,0,0,0.01979097021484278
21922,23,4384,0,491,686,1602,1731,0,0,0,0,1,0,0,0,1,0.015459990516682108
9303,60,1860,486,199,440,0,695,1,0,0,0,0,1,0,0,0,0.004182182869318689
38019,22,7603,3488,1721,1354,3210,2070,0,0,1,0,0,0,0,0,1,0.029124499298670947
36967,56,7393,6914,1674,1839,0,2932,1,0,0,0,0,1,0,0,0,0.028569983116519822
30122,24,6024,0,632,954,2047,1798,0,0,0,1,0,0,0,1,0,0.019695740244383912
24866,49,7459,4433,1031,1020,2083,0,0,0,0,1,0,0,1,0,0,0.021291834228428924
9668,21,1933,1198,267,320,515,743,0,0,0,0,1,0,0,1,0,0.005356685838311414
21427,38,4285,0,571,717,0,2088,1,0,0,0,0,0,0,1,0,0.014099987501066377
22806,59,4561,0,840,833,1704,2127,0,0,0,1,0,0,0,0,1,0.016578942669573826
15789,49,4736,0,532,746,958,1227,0,1,0,0,0,0,1,0,0,0.009241275049946136
26368,35,7910,0,677,1309,1767,1712,0,1,0,0,0,1,0,0,0,0.01950627228232512
41447,50,12434,0,836,1565,3841,5835,0,0,0,1,0,0,0,0,1,0.0344117466168561
135659,31,40697,17920,4025,5110,8475,19147,0,0,0,1,0,0,0,0,1,0.13430203375505662
34496,23,5174,0,1109,1450,1892,2666,0,0,0,0,1,0,0,1,0,0.022184615201480826
36864,28,5529,2290,1262,1460,2615,2849,0,0,0,0,1,1,0,0,0,0.02627851195235327
28265,63,5653,4804,911,990,2206,2798,0,1,0,0,0,0,0,0,1,0.024081278779786646
6463,37,1939,0,203,223,559,497,0,0,1,0,0,0,1,0,0,0.0033856238455846027
29370,46,4405,0,1436,1422,0,1515,1,0,0,0,0,1,0,0,0,0.01784569967244858
31480,52,6296,1934,1498,1041,2379,2155,0,0,1,0,0,0,0,0,1,0.023225201024515765
215248,33,64574,0,6831,7191,20390,39994,0,0,0,0,1,0,0,1,0,0.2211735903484425
25721,24,5144,3770,1240,1164,2467,1513,0,0,1,0,0,0,0,0,1,0.021314649742184694
38184,57,7636,2561,863,1893,3338,3705,0,0,0,0,1,1,0,0,0,0.030013312356287063
29178,53,8753,0,594,919,2116,2201,0,0,1,0,0,0,0,1,0,0.021603315590138145
11778,61,3533,0,352,544,1014,1059,0,1,0,0,0,0,0,0,1,0.00707280926428896
74847,61,14969,0,1912,3031,5526,9127,0,0,0,0,1,1,0,0,0,0.06570074378574844
54748,48,16424,0,2251,1720,4873,7191,0,1,0,0,0,1,0,0,0,0.05210468154502691
56487,59,16946,6499,2191,2733,3693,6079,0,0,1,0,0,0,0,1,0,0.056723335112282086
14493,61,4347,0,713,457,1034,1271,0,0,0,1,0,0,0,1,0,0.008503242778889896
92151,60,13822,0,3927,3907,8200,12945,0,0,0,1,0,0,1,0,0,0.07956761625496238
9773,60,1954,0,311,414,0,830,1,0,0,0,0,0,1,0,0,0.004035369998194599
47975,64,9595,4989,1346,2070,4561,5757,0,0,0,1,0,0,0,0,1,0.04082389796108665
173046,23,34609,0,3743,7967,0,40421,1,0,0,0,0,0,1,0,0,0.15293139672607298
13582,46,2716,0,379,610,1210,877,0,0,1,0,0,0,1,0,0,0.0067742236277460455
19070,44,3814,0,485,614,0,1429,1,0,0,0,0,0,0,1,0,0.008275087641332187
32489,60,9746,3646,1467,1434,0,2394,1,0,0,0,0,0,0,0,1,0.025977942358092466
20053,19,4010,0,597,611,0,1058,1,0,0,0,0,1,0,0,0,0.012293593998924695
8676,39,2603,1185,351,406,829,0,0,1,0,0,0,0,0,1,0,0.005450923829911337
31691,26,6338,0,1249,1174,0,1768,1,0,0,0,0,1,0,0,0,0.019183879153167487
12824,28,1923,0,279,578,1209,675,0,0,0,0,1,0,1,0,0,0.005696934586930083
43819,33,13145,3113,906,1676,4273,4140,0,0,1,0,0,0,1,0,0,0.03434528403330668
14377,62,2875,0,479,432,1333,935,0,1,0,0,0,0,1,0,0,0.007086696968314211
103662,30,31098,0,4952,4240,7266,23148,0,0,0,0,1,1,0,0,0,0.10374313302634894
16032,35,2404,0,628,606,1182,1234,0,0,1,0,0,0,0,0,1,0.007297988465269828
23185,42,4637,0,1059,861,1436,2262,0,1,0,0,0,0,0,1,0,0.01693803901651248
57513,50,8626,0,1226,2170,3738,7209,0,0,1,0,0,0,1,0,0,0.05150751027194109
11206,27,2241,935,351,500,687,701,0,0,0,1,0,0,1,0,0,0.005988576371460372
35987,47,10796,2368,783,1351,2104,3568,0,0,1,0,0,0,0,0,1,0.029447884406687524
85362,18,12804,12629,2580,3926,4693,11411,0,0,0,1,0,0,0,1,0,0.08088198824306657
8291,50,1658,480,236,274,660,505,0,0,0,1,0,0,0,0,1,0.004073065194834568
34775,32,6955,0,1656,1135,2444,2025,0,0,1,0,0,0,0,0,1,0.02333927859329462
36932,46,7386,0,1645,1145,2817,2178,0,0,0,1,0,0,1,0,0,0.024964139964249083
56073,19,16821,0,2477,2155,5009,6447,0,1,0,0,0,0,1,0,0,0.05198465210309438
11152,28,2230,0,231,483,951,942,0,0,0,1,0,0,0,0,1,0.0055600415043954585
10431,51,2086,0,367,495,0,522,1,0,0,0,0,1,0,0,0,0.004087944877718766
45547,58,6832,6775,1043,2267,2380,6086,0,1,0,0,0,0,1,0,0,0.03662286749344798
38045,36,11413,0,1748,1758,3335,3195,0,1,0,0,0,0,0,1,0,0.030151197417680634
36656,19,7331,0,1230,1734,2019,3551,0,1,0,0,0,0,1,0,0,0.02572895566449688
39581,37,5937,7755,907,1809,0,2882,1,0,0,0,0,1,0,0,0,0.02870191630475971
17412,58,5223,0,862,791,0,1500,1,0,0,0,0,1,0,0,0,0.008421900512456278
36125,48,10837,0,1034,1168,0,2771,1,0,0,0,0,0,0,0,1,0.02489569342298177
37926,21,11378,6955,985,1463,0,2672,1,0,0,0,0,0,0,0,1,0.03077515211995802
16940,46,3388,0,625,622,0,1312,1,0,0,0,0,1,0,0,0,0.007385282604857125
133462,47,26692,0,4609,5425,11095,22392,0,0,0,0,1,0,0,1,0,0.12556964385975006
43827,30,6574,0,1237,1791,4035,4949,0,0,0,0,1,0,0,0,1,0.031157063980652443
11566,32,2313,0,487,539,0,1083,1,0,0,0,0,1,0,0,0,0.005070003948075858
50726,37,10145,0,1455,1641,3268,5144,0,1,0,0,0,0,0,1,0,0.045853230775945705
13755,51,2063,0,417,629,1262,1074,0,0,0,1,0,0,0,1,0,0.006472662054626292
56309,45,16892,0,2308,2704,4189,8189,0,0,0,1,0,1,0,0,0,0.05441698426523134
75798,37,15159,7498,2815,2558,7310,9882,0,0,0,0,1,1,0,0,0,0.07331715746474012
15559,42,3111,1279,445,733,0,912,1,0,0,0,0,0,0,1,0,0.0077324752054884205
64838,44,19451,0,3091,2289,5522,7082,0,0,1,0,0,0,0,1,0,0.059609001612957624
41738,47,6260,0,1734,1407,2153,4801,0,0,0,1,0,1,0,0,0,0.02809780117966126
57907,58,11581,11236,1683,2004,3980,5895,0,0,0,1,0,1,0,0,0,0.06062379598565995
136815,37,20522,0,6277,4469,10396,26582,0,1,0,0,0,0,1,0,0,0.1310632227805961
24652,18,3697,2873,724,1131,2338,2439,0,0,0,1,0,0,0,1,0,0.020202641441305604
16415,52,3283,0,808,726,925,1378,0,0,0,0,1,0,0,0,1,0.008183825586309104
14725,60,2208,0,695,475,0,1429,1,0,0,0,0,0,1,0,0,0.005872514844963624
15619,41,3123,0,500,481,0,1497,1,0,0,0,0,0,1,0,0,0.006915084625716457
28205,42,4230,2901,1125,1292,2486,1692,0,0,0,1,0,0,0,1,0,0.0219901873451273
39413,57,11824,0,1421,1883,2164,3687,0,0,1,0,0,0,0,1,0,0.03038530442839202
37432,29,11229,0,1665,1237,3414,3214,0,0,0,0,1,0,1,0,0,0.029378445886561265
58145,28,17443,0,2667,2404,4272,6966,0,0,0,1,0,0,0,1,0,0.05457768484038068
30313,47,9094,0,1179,1249,3009,2646,0,0,0,0,1,0,0,1,0,0.024067391075761394
95968,30,19193,0,3518,3976,5328,13647,0,0,1,0,0,0,0,0,1,0.08267350206232404
24275,64,7282,1672,732,753,1950,1279,0,0,0,0,1,1,0,0,0,0.019021194620300254
264365,42,79309,0,12425,7984,24201,53503,0,0,0,0,1,0,1,0,0,0.2774545028896344
49488,42,14846,3710,1889,1923,4549,4640,0,0,0,0,1,0,0,1,0,0.03927045906797634
15111,34,3022,0,332,457,0,1370,1,0,0,0,0,1,0,0,0,0.006575827855956734
12736,29,3820,0,510,567,1139,643,0,0,1,0,0,1,0,0,0,0.007296996486410881
44131,28,8826,7116,1164,1382,0,5062,1,0,0,0,0,1,0,0,0,0.0338919496947681
25088,27,7526,0,608,821,2401,2108,0,1,0,0,0,0,0,1,0,0.0192096706035001
53111,34,10622,4260,2633,2383,4432,7064,0,0,0,1,0,0,1,0,0,0.05518080798662019
43806,62,13142,3366,2054,2088,0,6028,1,0,0,0,0,0,1,0,0,0.03331957789315594
28302,33,8490,0,1183,963,1952,2220,0,0,0,0,1,0,0,1,0,0.021276954545544725
15237,37,3047,0,573,722,1466,1238,0,1,0,0,0,0,0,1,0,0.008068756038671304
8929,22,1339,878,281,291,533,623,0,0,1,0,0,0,1,0,0,0.004280388776354399
20988,58,4197,3924,619,957,1520,2029,0,0,1,0,0,0,1,0,0,0.018871405812599322
59520,49,8928,0,1791,1970,0,6396,1,0,0,0,0,0,1,0,0,0.048839087141374846
35604,44,7120,0,1195,1132,2540,3405,0,0,0,0,1,0,0,0,1,0.024960172048813296
11074,21,2214,1532,335,466,680,641,0,0,0,0,1,1,0,0,0,0.006377432084167422
34458,58,5168,5728,921,1353,2635,3367,0,0,1,0,0,0,0,0,1,0.027107806278432595
40831,24,8166,0,1934,1640,2421,5357,0,0,0,0,1,0,0,0,1,0.03006687921467018
14792,63,4437,0,632,652,946,1052,0,0,0,1,0,0,0,1,0,0.008534986102376187
33925,31,5088,0,1331,1347,0,2441,1,0,0,0,0,1,0,0,0,0.0199873820289142
31430,56,9429,0,1046,1464,0,2592,1,0,0,0,0,1,0,0,0,0.02215981573000716
12022,41,2404,0,530,483,996,1000,0,0,0,0,1,0,1,0,0,0.0060103999063571955
39941,35,11982,6304,991,1256,3989,1441,0,0,1,0,0,0,0,1,0,0.0338215191957829
46984,55,14095,0,1136,1438,3431,6842,0,0,0,1,0,0,0,1,0,0.03493551145437988
71352,56,14270,13734,3469,2952,5170,4595,0,0,0,1,0,0,1,0,0,0.06894153871792684
69702,57,20910,10703,3364,2700,4783,5582,0,0,0,1,0,0,1,0,0,0.06494187995865432
9964,18,1494,0,399,340,724,971,0,1,0,0,0,0,0,0,1,0.004372642810236429
14167,34,2833,974,481,455,1206,1204,0,0,0,0,1,0,1,0,0,0.008030068863172387
45296,43,9059,3637,2114,1757,2422,6403,0,0,0,1,0,0,1,0,0,0.036799439730340465
45251,39,9050,7033,1909,1687,3968,5558,0,0,0,0,1,0,0,1,0,0.03891235469989664
45296,56,9059,0,1950,1555,4341,5778,0,0,1,0,0,0,0,0,1,0.03447424128496974
654180,35,130836,53807,25852,25048,57928,137816,0,0,1,0,0,1,0,0,0,0.6434054237436092
47366,55,9473,8241,2257,2316,3049,5396,0,0,1,0,0,0,0,0,1,0.04058284709836264
74414,45,11162,0,2182,3196,6131,9122,0,1,0,0,0,0,0,1,0,0.0671549847929641
64353,38,9653,0,1801,1964,3437,8756,0,0,1,0,0,1,0,0,0,0.05739093688435312
50517,55,15155,9191,1901,2311,2918,592,0,0,0,0,1,0,0,0,1,0.04818537307332906
23312,50,3496,0,711,794,0,1172,1,0,0,0,0,0,1,0,0,0.01341056219409852
55057,47,11011,6175,1194,2078,0,5962,1,0,0,0,0,0,0,0,1,0.051446999561545345
16166,59,2424,1735,789,789,1441,1608,0,0,0,0,1,1,0,0,0,0.009634098678088973
24822,25,4964,0,1169,839,0,1412,1,0,0,0,0,0,0,0,1,0.015847854250530213
20346,47,4069,1385,413,971,1233,1744,0,0,0,1,0,0,0,0,1,0.01571889699886716
32030,56,9609,0,1474,1144,0,2745,1,0,0,0,0,0,0,0,1,0.02250006447862583
191124,26,38224,0,6791,8101,14097,44883,0,1,0,0,0,0,1,0,0,0.18055007211686305
6735,50,1347,1284,236,220,405,409,0,0,1,0,0,0,0,1,0,0.003842926099558966
51946,60,10389,0,1299,2389,0,7492,1,0,0,0,0,0,0,1,0,0.04654959993492619
8256,46,1651,0,213,260,0,793,1,0,0,0,0,0,0,1,0,0.003284442001972054
20566,48,4113,2530,584,923,1133,1276,0,1,0,0,0,0,0,0,1,0.016333923891414026
71690,20,14338,0,2629,2192,4617,10301,0,1,0,0,0,1,0,0,0,0.06229230442640806
31583,55,4737,4933,1089,1484,0,2427,1,0,0,0,0,0,0,0,1,0.02418940447541182
12667,28,1900,932,358,631,1224,1233,0,0,0,1,0,0,0,0,1,0.007045033856238456
16927,22,3385,0,747,690,0,1685,1,0,0,0,0,0,0,1,0,0.007784058106153641
51669,48,7750,0,1578,2433,3594,6673,0,0,0,1,0,0,0,1,0,0.047153715060024644
16724,37,3344,0,433,636,1184,1549,0,0,1,0,0,0,1,0,0,0.008563753489285637
35671,21,7134,4670,1155,1653,3532,3472,0,0,0,0,1,0,0,0,1,0.03055890072870767
31113,25,9334,0,1281,1464,2741,2259,0,0,1,0,0,0,1,0,0,0.024188412496552875
17812,59,2671,0,529,535,0,1363,1,0,0,0,0,0,1,0,0,0.006873421513640701
166726,52,33345,0,4927,7505,0,41005,1,0,0,0,0,0,1,0,0,0.1486152967107965
49815,30,14944,8298,1169,1606,3826,3755,0,0,0,1,0,0,0,1,0,0.039960876353803146
5936,22,1187,0,136,220,399,571,0,1,0,0,0,0,1,0,0,0.0025226022383010973
34825,57,6965,0,1002,1420,2906,1863,0,0,0,1,0,0,0,0,1,0.02368845515164381
17668,36,2650,0,734,724,1038,1439,0,1,0,0,0,0,1,0,0,0.008011221264852403
59331,35,11866,8287,2143,2163,3977,7492,0,1,0,0,0,0,0,1,0,0.06132611701779412
15913,50,3182,0,712,613,1151,1245,0,1,0,0,0,0,0,0,1,0.007968566173917701
27368,21,5473,2927,1137,1146,2451,1399,0,1,0,0,0,0,0,0,1,0.02128092246098051
44933,35,8986,0,1758,2174,0,5077,1,0,0,0,0,1,0,0,0,0.030275194775048954
59967,63,17990,0,1456,2141,3827,7847,0,0,0,0,1,0,0,1,0,0.05569961292984924
11484,41,2296,0,544,424,809,1105,0,0,0,0,1,1,0,0,0,0.0056830468829048315
22956,60,3443,0,479,720,2018,2204,0,0,1,0,0,0,0,1,0,0.015852814144824947
20516,46,6155,0,999,637,1564,1106,0,0,1,0,0,0,0,1,0,0.014676327218114328
17788,48,2668,0,784,677,1200,1010,0,0,1,0,0,0,0,1,0,0.007778106232999962
123169,45,24633,0,3395,4329,10008,26164,0,0,0,1,0,1,0,0,0,0.11961677872721177
41478,26,12443,5899,2055,1251,3978,1286,0,0,1,0,0,0,1,0,0,0.034833337631908386
10940,62,3282,2180,365,337,1085,0,0,0,1,0,0,0,0,1,0,0.007562846820608559
62520,43,18756,0,2759,2878,3627,8608,0,0,1,0,0,0,0,0,1,0.059110036246907506
163845,64,32769,0,7858,7183,0,35924,1,0,0,0,0,0,0,0,1,0.14618693246409534
68523,19,20556,0,2393,2778,6102,8247,0,0,1,0,0,0,0,1,0,0.05886204153217087
8896,23,2669,1355,343,417,875,421,0,0,0,0,1,0,0,1,0,0.006132413306007623
20364,46,4072,0,807,619,0,1271,1,0,0,0,0,0,0,1,0,0.012693361479080158
82659,43,16531,0,3100,3990,8259,8831,0,1,0,0,0,0,1,0,0,0.073894489160647
17031,45,3406,0,435,828,1461,855,0,0,0,1,0,0,0,1,0,0.008480427265134125
42787,24,12836,5368,1230,1433,0,5302,1,0,0,0,0,0,1,0,0,0.03202504548223068
55751,51,16725,9940,1294,1942,0,5813,1,0,0,0,0,0,1,0,0,0.05407078364345899
14291,62,2858,0,472,550,1025,888,0,0,0,0,1,0,0,1,0,0.006843662147872304
28604,27,5720,0,731,1129,1854,1809,0,0,1,0,0,0,0,1,0,0.018883309558906682
2243,58,448,270,56,96,139,197,0,1,0,0,0,0,1,0,0,0.0006854573915320716
13219,57,2643,0,310,432,845,775,0,0,0,0,1,1,0,0,0,0.00605503895500979
24511,64,3676,0,801,925,1235,2108,0,0,0,0,1,0,1,0,0,0.016109736669292104
11055,39,3316,0,251,349,0,1066,1,0,0,0,0,0,0,0,1,0.005654279495995381
110733,44,22146,0,4638,4252,8898,21852,0,1,0,0,0,0,0,1,0,0.10702856700717994
9555,56,1911,0,449,350,669,523,0,0,0,0,1,1,0,0,0,0.00423078983340707
21097,39,6329,0,620,752,1815,1135,0,0,0,1,0,1,0,0,0,0.015345912947903254
33307,36,6661,0,1504,1388,2169,1846,0,0,0,1,0,0,0,1,0,0.022323492241733345
95032,53,28509,0,3579,3137,6602,9737,0,0,0,0,1,1,0,0,0,0.07857266145943897
9511,26,1902,0,306,377,0,930,1,0,0,0,0,0,0,0,1,0.003992714907259896
76075,36,22822,8963,3375,2825,7104,4515,0,0,0,1,0,0,0,1,0,0.06773231648887099
30246,19,4536,0,1319,951,0,1871,1,0,0,0,0,0,1,0,0,0.01817106873818305
13680,45,4104,0,659,529,989,787,0,0,1,0,0,0,0,1,0,0.007710651670591596
43418,56,8683,0,2093,2155,3940,6372,0,0,1,0,0,0,0,0,1,0.03422029469707941
35178,39,10553,4700,1439,1444,0,3044,1,0,0,0,0,1,0,0,0,0.029129459192965678
18560,23,5568,1819,879,772,1342,1159,0,0,0,0,1,0,0,1,0,0.011391885216142273
31722,64,6344,1926,686,997,2350,1834,0,0,1,0,0,0,0,0,1,0.022617117983981524
22041,24,4408,0,566,797,2120,2080,0,0,1,0,0,0,1,0,0,0.016409314284693964
32851,23,6570,0,958,1368,2727,2179,0,0,0,1,0,0,0,0,1,0.022503040415202673
50952,50,10190,0,2230,1955,3760,7234,0,0,0,0,1,0,0,1,0,0.048839087141374846
106698,31,16004,0,2271,3710,0,19047,1,0,0,0,0,0,0,0,1,0.09766230262100654
11144,18,2228,0,476,348,736,903,0,0,1,0,0,0,1,0,0,0.005226736607789415
165277,42,49583,17611,6630,6353,14568,18341,0,0,0,0,1,0,0,1,0,0.16310215596685204
